4,10.5,12,19.5
5,11.9,13.5,22.5
6,12.5,14.5,24.5
7,10.5,13.5,27.4
8,9.5,15.1,26.5
9,9.5,13,28
10,16.4,19,30.8
15,26,27.5,97
20,26,29.5,97.2
25,25.1,29.3,97.5
30,24.2,31.2,97.1
35,42.7,53.6,97.5
40,50.1,56.5,97.1
45,48,48,97.2
50,61.5,73,97
60,79.5,77,97.1
70,84,85.5,97.1
80,84,84.7,97
90,84,83,97
100,80,81.5,97
